postcode,latitude,longitude
G78 3HJ,55.783875,-4.424516
G81 1BS,55.899898,-4.408285
G81 1BS,55.899898,-4.408285
G81 1BS,55.899898,-4.408285
G81 1BS,55.899898,-4.408285
G81 1BS,55.899898,-4.408285
G81 1BS,55.899898,-4.408285
G82 1PW,55.946192,-4.573953
G82 1PW,55.946192,-4.573953
G82 1PW,55.946192,-4.573953
G82 1PW,55.946192,-4.573953
G82 1PW,55.946192,-4.573953
G83 0NB,55.987125,-4.579063
G83 0UA,55.993086,-4.591746
G83 0UE,55.993443,-4.584664
G83 0UE,55.993443,-4.584664
G83 7AE,56.194168,-4.748143
G84 0JL,55.984863,-4.820202
G84 0SL,56.083852,-4.833998
G84 7QL,56.004318,-4.730167
G84 7QL,56.004318,-4.730167
HS1 2PS,58.212332,-6.37331
HS1 2XB,58.208726,-6.386557
HS2 9JP,58.151824,-6.502631
HS3 3BG,57.901715,-6.81385
HS5 3UA,57.767634,-7.015927
HS6 5AE,57.604972,-7.162904
HS7 5QA,57.442822,-7.358463
HS8 5SS,57.165111,-7.372195
HS9 5XD,56.955611,-7.487706
IV10 8SY,57.581973,-4.132064
IV11 8YF,57.681395,-4.036857
IV12 5EE,57.578125,-3.87256
IV14 9AG,57.585951,-4.543687
IV15 9QS,57.593883,-4.418008
IV17 0UN,57.695048,-4.248213
IV19 1EU,57.809327,-4.064586
IV19 1EU,57.809327,-4.064586
IV2 3BG,57.47436,-4.217789
IV2 3NF,57.478402,-4.218984
IV2 3PF,57.464632,-4.202226
IV2 4AG,57.472337,-4.223569
IV2 4TP,57.464908,-4.210563
IV2 4XA,57.47167,-4.219593
IV2 6YB,57.253984,-4.494541
IV2 7LL,57.487402,-4.14228
IV2 7LL,57.487402,-4.14228
IV22 2EZ,57.546808,-5.51302
IV22 2HU,57.835819,-5.577123
IV24 3EP,57.889873,-4.343526
IV25 3LS,57.878251,-4.028127
IV26 2XL,57.902082,-5.157526
IV27 4DD,58.023551,-4.397178
IV27 4JZ,58.153985,-5.239163
IV27 4RP,58.458076,-5.043472
IV27 4XB,58.477629,-4.417458
IV3 5PW,57.470202,-4.231412
IV3 8HH,57.481775,-4.23749
IV3 8PB,57.473389,-4.255807
IV30 1AT,57.647471,-3.325516
IV30 6GQ,57.636152,-3.293228
IV31 6TU,57.71532,-3.30537
IV32 7EP,57.612391,-3.092362
IV36 1JG,57.603109,-3.621921
IV36 1JG,57.603109,-3.621921
IV4 7DJ,57.484487,-4.462226
IV4 7EA,57.482664,-4.458933
IV40 8AE,57.280793,-5.715217
IV40 8JD,57.21361,-5.619633
IV47 8ST,57.296273,-6.339257
IV49 9AA,57.246436,-5.911166
IV51 9BZ,57.411301,-6.19233
IV54 8LS,57.426735,-5.820607
IV54 8YD,57.398815,-5.497258
IV55 8GU,57.428707,-6.566759
IV63 6UL,57.328587,-4.475571
IV8 8NG,57.550418,-4.26097
KA1 1RU,55.605766,-4.501536
KA1 2BD,55.608619,-4.50392
KA1 2DJ,55.608402,-4.504514
KA1 2DL,55.607857,-4.503892
KA10 6BQ,55.54419,-4.667077
KA10 6QR,55.544947,-4.665284
KA11 1JU,55.619246,-4.634656
KA12 0AY,55.614099,-4.664107
KA12 8TJ,55.631161,-4.674999
KA12 9DY,55.626636,-4.66413
KA13 6BL,55.652878,-4.700554
KA13 6EH,55.653813,-4.701763
KA15 2AE,55.75176,-4.634041
KA17 0HD,55.610063,-4.290398
KA18 1BF,55.453045,-4.26675
KA18 2AY,55.470538,-4.294573
KA18 4BA,55.393524,-4.179958
KA19 7BY,55.3547,-4.681547
KA19 7BY,55.3547,-4.681547
KA2 0LE,55.611898,-4.548039
KA2 9HF,55.576804,-4.5937
KA20 3AB,55.640617,-4.756585
KA20 3AB,55.640617,-4.756585
KA21 5LX,55.634822,-4.783992
KA22 7DX,55.650658,-4.806196
KA22 8BS,55.639796,-4.81497
KA24 4AF,55.706777,-4.723201
KA25 6HS,55.747214,-4.685828
KA26 0NB,55.101211,-5.004837
KA26 9HQ,55.248305,-4.846997
KA26 9HQ,55.248305,-4.846997
KA26 9SH,55.276211,-4.726404
KA27 8NS,55.525894,-5.134223
KA28 0DE,55.753703,-4.926777
KA3 5BP,55.681155,-4.513077
KA3 7AE,55.60935,-4.490104
KA30 8LH,55.797928,-4.86643
KA4 8HW,55.600252,-4.379056
KA5 6RU,55.502829,-4.331337
KA6 6AB,55.434174,-4.593108
KA6 7AY,55.434161,-4.461181
KA6 7LX,55.3608,-4.500883
KA6 7QL,55.323011,-4.398419
KA7 1BJ,55.463997,-4.633622
KA7 1UL,55.460273,-4.632087
KA7 1UL,55.460273,-4.632087
KA7 1UQ,55.458677,-4.630214
KA7 2AQ,55.459337,-4.635462
KA7 2DF,55.458345,-4.634763
KA7 3PR,55.443161,-4.607154
KA8 8DD,55.471734,-4.626606
KA9 1AQ,55.501313,-4.612882
KA9 1AW,55.502311,-4.608924
KW1 5EL,58.441379,-3.088322
KW10 6TH,57.974485,-3.977236
KW14 7AR,58.592125,-3.522161
KW14 7DH,58.59153,-3.525843
KW14 7SA,58.55121,-4.08562
KW14 8TY,58.591973,-3.389361
KW15 1NZ,58.973685,-2.965433
KW15 1NZ,58.973685,-2.965433
KW15 1NZ,58.973685,-2.965433
KW16 3AD,58.964651,-3.297044
KW17 2HH,59.067176,-3.231606
KW17 2PU,59.131799,-2.987347
KW17 2SN,58.825187,-2.961034
KW6 6EZ,58.246608,-3.439329
KW9 6QJ,58.012411,-3.85283
KY1 1ER,56.111403,-3.162023
KY1 1PH,56.106707,-3.16489
KY1 2NA,56.12717,-3.159346
KY1 2NA,56.12717,-3.159346
KY1 2NA,56.12717,-3.159346
KY1 2PG,56.119606,-3.147714
KY10 2LG,56.214059,-2.729599
KY10 3FF,56.227403,-2.691921
KY11 1NU,56.029635,-3.39692
KY11 2SE,56.04009,-3.417424
KY11 2ZL,56.045374,-3.431639
KY11 3BA,56.061232,-3.446517
KY11 3ED,56.03587,-3.500364
KY11 4JW,56.067587,-3.450996
KY11 4LT,56.065616,-3.417079
KY11 4TF,56.066146,-3.452002
KY12 0AE,56.075196,-3.449174
KY12 0BL,56.082433,-3.43309
KY12 8SJ,56.061722,-3.596589
KY12 9QH,56.085423,-3.567372
KY13 8FP,56.215058,-3.42557
KY13 8FP,56.215058,-3.42557
KY14 6DA,56.350885,-3.24019
KY14 7AW,56.289672,-3.231356
KY15 4JN,56.323249,-3.016375
KY15 4JN,56.323249,-3.016375
KY15 7JS,56.274422,-3.123974
KY16 0DZ,56.375683,-2.93304
KY16 8AR,56.327485,-2.805652
KY16 8AR,56.327485,-2.805652
KY2 5RB,56.117822,-3.174006
KY3 9DF,56.058918,-3.230831
KY3 9DF,56.058918,-3.230831
KY3 9RT,56.069207,-3.175419
KY4 0AE,56.134212,-3.380949
KY4 8DF,56.087916,-3.372896
KY4 9DH,56.110839,-3.351665
KY5 0JE,56.14649,-3.26368
KY5 8DA,56.156133,-3.321828
KY5 9QZ,56.128878,-3.311964
KY5 9QZ,56.128878,-3.311964
KY5 9QZ,56.128878,-3.311964
KY6 1HL,56.195536,-3.19464
KY6 1HL,56.195536,-3.19464
KY6 3LQ,56.200651,-3.218154
KY7 4AQ,56.190652,-3.158166
KY7 4RH,56.182676,-3.162873
KY7 6ER,56.202222,-3.13242
KY7 6SX,56.207951,-3.168392
KY8 1HJ,56.175966,-3.039428
KY8 1HU,56.176424,-3.027878
KY8 3RS,56.187822,-3.001884
KY8 4ET,56.196843,-2.998477
KY8 5JZ,56.209473,-3.046622
ML1 1TA,55.785823,-3.98464
ML1 1TB,55.785104,-3.984261
ML1 1TB,55.785104,-3.984261
ML1 1TB,55.785104,-3.984261
ML1 2PJ,55.782151,-3.98073
ML1 3JX,55.791572,-3.997207
ML1 4LT,55.815347,-3.977484
ML1 4TH,55.821887,-3.974831
ML1 5AG,55.809265,-3.950924
ML1 5JU,55.81356,-3.944117
ML10 6AS,55.677908,-4.06373
ML10 6AS,55.677908,-4.06373
ML11 0DB,55.640775,-3.886686
ML11 0PX,55.555702,-3.847318
ML11 7DH,55.674317,-3.771986
ML11 8AJ,55.765089,-3.685718
ML11 8HJ,55.698275,-3.62593
ML11 9SB,55.667548,-3.916802
ML12 6BE,55.622579,-3.519646
ML2 7LP,55.774972,-3.920574
ML2 7LP,55.774972,-3.920574
ML2 7LP,55.774972,-3.920574
ML2 7LP,55.774972,-3.920574
ML2 7LP,55.774972,-3.920574
ML2 7LP,55.774972,-3.920574
ML2 9AX,55.783186,-3.878765
ML3 0DR,55.778721,-4.051723
ML3 0NQ,55.781453,-4.068325
ML3 7EN,55.773159,-4.031629
ML3 7JY,55.768979,-4.03766
